id,created_at,screen_name,profile_img,verified,text,media,urls,favorite_count,view_count,retweet_count
1853590189572272428,Tue Nov 05 00:08:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Empowering biomedical discovery with AI agents https://t.co/MEQsYJeRV6,,"[{'display_url': 'dlvr.it/TG0lFM', 'expanded_url': 'http://dlvr.it/TG0lFM', 'url': 'https://t.co/MEQsYJeRV6', 'indices': [68, 91]}]",53,8721,17
1854676964734271669,Fri Nov 08 00:07:01 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"To hear about what our latest focus issue celebrating #50YearsofCell means to us, read our editorial: https://t.co/wRP10Hsym2

And to dive into the world of #neuroscience, explore the issue: https://t.co/BmZncmI80J https://t.co/td47RRSyi0","[{'display_url': 'pic.x.com/td47RRSyi0', 'expanded_url': 'https://x.com/CellCellPress/status/1854676964734271669/photo/1', 'ext_alt_text': '""On the occasion of Cell\'s anniversary, we\'re excited to share an issue looking back at the establishment of foundational principles in neuroscience and showcasing rapidly evolving and particularly exciting topics about the brain and beyond."" - The Cell editorial team', 'id_str': '1854676960963706883', 'indices': [215, 238], 'media_key': '3_1854676960963706883', 'media_url_https': 'https://pbs.twimg.com/media/Gb0i3pdXwAMeJi-.jpg', 'type': 'photo', 'url': 'https://t.co/td47RRSyi0', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 900, 'w': 1600, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 900, 'width': 1600, 'focus_rects': [{'x': 0, 'y': 4, 'w': 1600, 'h': 896}, {'x': 0, 'y': 0, 'w': 900, 'h': 900}, {'x': 0, 'y': 0, 'w': 789, 'h': 900}, {'x': 135, 'y': 0, 'w': 450, 'h': 900}, {'x': 0, 'y': 0, 'w': 1600, 'h': 900}]}, 'media_results': {'result': {'media_key': '3_1854676960963706883'}}}]","[{'display_url': 'cell.com/cell/fulltext/…', 'expanded_url': 'https://www.cell.com/cell/fulltext/S0092-8674(24)01033-X', 'url': 'https://t.co/wRP10Hsym2', 'indices': [102, 125]}, {'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [191, 214]}]",8,6951,3
1853227794920292830,Mon Nov 04 00:08:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"In the latest issue! A genome-wide spectrum of tandem repeat expansions in 338,963 humans https://t.co/G2CsfXazXL",,"[{'display_url': 'dlvr.it/TFzm1p', 'expanded_url': 'http://dlvr.it/TFzm1p', 'url': 'https://t.co/G2CsfXazXL', 'indices': [90, 113]}]",61,12848,14
1853168658677461139,Sun Nov 03 20:13:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! CSF proteomics identifies early changes in autosomal dominant Alzheimer’s disease https://t.co/77CdDFUi5C,,"[{'display_url': 'dlvr.it/TFzgMl', 'expanded_url': 'http://dlvr.it/TFzgMl', 'url': 'https://t.co/77CdDFUi5C', 'indices': [103, 126]}]",54,11795,11
1853097195698094421,Sun Nov 03 15:29:34 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Transplantation of chemically induced pluripotent stem-cell-derived islets under abdominal anterior rectus sheath in a type 1 diabetes patient https://t.co/ULriohPRK9,,"[{'display_url': 'dlvr.it/TFzWPQ', 'expanded_url': 'http://dlvr.it/TFzWPQ', 'url': 'https://t.co/ULriohPRK9', 'indices': [164, 187]}]",45,10219,15
1853459577314144650,Mon Nov 04 15:29:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! A two-front nutrient supply environment fuels small intestinal physiology through differential regulation of nutrient absorption and host defense https://t.co/4Tc8YRrVFA,,"[{'display_url': 'dlvr.it/TG0LQy', 'expanded_url': 'http://dlvr.it/TG0LQy', 'url': 'https://t.co/4Tc8YRrVFA', 'indices': [167, 190]}]",9,5550,2
1853821966865907792,Tue Nov 05 15:29:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Regulatory mechanisms of strigolactone perception in rice https://t.co/nVg2GGo9gC,,"[{'display_url': 'dlvr.it/TG1NHj', 'expanded_url': 'http://dlvr.it/TG1NHj', 'url': 'https://t.co/nVg2GGo9gC', 'indices': [71, 94]}]",10,5322,0
1853424092952887456,Mon Nov 04 13:08:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Retraction notice to: hnRNP K: An HDM2 Target and Transcriptional Coactivator of p53 in Response to DNA Damage https://t.co/jzr5loSMnj,,"[{'display_url': 'dlvr.it/TG0CD5', 'expanded_url': 'http://dlvr.it/TG0CD5', 'url': 'https://t.co/jzr5loSMnj', 'indices': [132, 155]}]",14,8678,3
1852848673354338409,Sat Nov 02 23:02:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Our anniversary focus issue on #neuroscience includes content reflecting on the progress of the field, highlighting emerging topics, and paving the way toward many more years of fascinating neuroscience research.

Explore the issue: https://t.co/BmZncmI80J

#50YearsofCell https://t.co/fXhRL87g8h","[{'display_url': 'pic.x.com/fXhRL87g8h', 'expanded_url': 'https://x.com/CellCellPress/status/1852848673354338409/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1852848667637796864', 'indices': [273, 296], 'media_key': '3_1852848667637796864', 'media_url_https': 'https://pbs.twimg.com/media/GbakC-EbUAAmk5C.jpg', 'type': 'photo', 'url': 'https://t.co/fXhRL87g8h', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1852848667637796864'}}}]","[{'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [233, 256]}]",49,10187,17
1852719698909245764,Sat Nov 02 14:29:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! A pontine-medullary loop crucial for REM sleep and its deficit in Parkinson’s disease https://t.co/xq6sS7PMfr,,"[{'display_url': 'dlvr.it/TFys97', 'expanded_url': 'http://dlvr.it/TFys97', 'url': 'https://t.co/xq6sS7PMfr', 'indices': [107, 130]}]",27,7519,4
