id,created_at,screen_name,profile_img,verified,text,media,urls,thumbnail,favorite_count,view_count,retweet_count
1856067763317702802,Mon Nov 11 20:13:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Decreased lipidated ApoE-receptor interactions confer protection against pathogenicity of ApoE and its lipid cargoes in lysosomes https://t.co/1b5a8hfPnX,,"[{'display_url': 'dlvr.it/TG76l2', 'expanded_url': 'http://dlvr.it/TG76l2', 'url': 'https://t.co/1b5a8hfPnX', 'indices': [143, 166]}]",https://pbs.twimg.com/card_img/1856003229336633344/Exhukx1q?format=jpg&name=orig,13,3359,3
1855996286929133843,Mon Nov 11 15:29:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Transcriptome-scale RNA-targeting CRISPR screens reveal essential lncRNAs in human cells https://t.co/OKr0uUEz1r,,"[{'display_url': 'dlvr.it/TG6t4q', 'expanded_url': 'http://dlvr.it/TG6t4q', 'url': 'https://t.co/OKr0uUEz1r', 'indices': [102, 125]}]",https://pbs.twimg.com/card_img/1855994812643901440/Qoc7NDxN?format=jpg&name=orig,39,6283,18
1853786097932816477,Tue Nov 05 13:07:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Revisit our latest focus issue celebrating #50YearsofCell, dedicated to #neuroscience!

Explore the issue: https://t.co/BmZncmI80J https://t.co/StDJT1Zzex","[{'display_url': 'pic.x.com/StDJT1Zzex', 'expanded_url': 'https://x.com/CellCellPress/status/1853786097932816477/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1853786093214183424', 'indices': [131, 154], 'media_key': '3_1853786093214183424', 'media_url_https': 'https://pbs.twimg.com/media/Gbn4oUeXMAARzgf.jpg', 'type': 'photo', 'url': 'https://t.co/StDJT1Zzex', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1853786093214183424'}}}]","[{'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [107, 130]}]",,15,5244,4
1853893592076755318,Tue Nov 05 20:14:10 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Type III interferons induce pyroptosis in gut epithelial cells and impair mucosal repair https://t.co/1m7e24lsee,,"[{'display_url': 'dlvr.it/TG1dnk', 'expanded_url': 'http://dlvr.it/TG1dnk', 'url': 'https://t.co/1m7e24lsee', 'indices': [102, 125]}]",https://pbs.twimg.com/card_img/1853808459139166208/V1PoKg6C?format=jpg&name=orig,112,13062,33
1853952707411014010,Wed Nov 06 00:09:04 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Spatial transcriptomic landscape unveils immunoglobin-associated senescence as a hallmark of aging https://t.co/LoKfdnTnFb,,"[{'display_url': 'dlvr.it/TG1n3Q', 'expanded_url': 'http://dlvr.it/TG1n3Q', 'url': 'https://t.co/LoKfdnTnFb', 'indices': [112, 135]}]",https://pbs.twimg.com/card_img/1853952713626886144/K3XB3Nnn?format=jpg&name=orig,62,10470,12
1854184499896352935,Wed Nov 06 15:30:08 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Organ-specific electrophile responsivity mapping in live C. elegans https://t.co/jIqjrkpYfO,,"[{'display_url': 'dlvr.it/TG2QWV', 'expanded_url': 'http://dlvr.it/TG2QWV', 'url': 'https://t.co/jIqjrkpYfO', 'indices': [81, 104]}]",https://pbs.twimg.com/card_img/1853826417311485952/BIkx8iuy?format=jpg&name=orig,13,6712,1
1853786613593301006,Tue Nov 05 13:09:05 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Selective degradation of multimeric proteins by TRIM21-based molecular glue and PROTAC degraders https://t.co/WKPSR4fApC,,"[{'display_url': 'dlvr.it/TG1Dq1', 'expanded_url': 'http://dlvr.it/TG1Dq1', 'url': 'https://t.co/WKPSR4fApC', 'indices': [110, 133]}]",https://pbs.twimg.com/card_img/1852906575188701185/RfHBGdMa?format=jpg&name=orig,59,8252,7
1853590189572272428,Tue Nov 05 00:08:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Empowering biomedical discovery with AI agents https://t.co/MEQsYJeRV6,,"[{'display_url': 'dlvr.it/TG0lFM', 'expanded_url': 'http://dlvr.it/TG0lFM', 'url': 'https://t.co/MEQsYJeRV6', 'indices': [68, 91]}]",https://pbs.twimg.com/card_img/1852125043561779200/3g_FFFLf?format=jpg&name=orig,53,8725,17
1854676964734271669,Fri Nov 08 00:07:01 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"To hear about what our latest focus issue celebrating #50YearsofCell means to us, read our editorial: https://t.co/wRP10Hsym2

And to dive into the world of #neuroscience, explore the issue: https://t.co/BmZncmI80J https://t.co/td47RRSyi0","[{'display_url': 'pic.x.com/td47RRSyi0', 'expanded_url': 'https://x.com/CellCellPress/status/1854676964734271669/photo/1', 'ext_alt_text': '""On the occasion of Cell\'s anniversary, we\'re excited to share an issue looking back at the establishment of foundational principles in neuroscience and showcasing rapidly evolving and particularly exciting topics about the brain and beyond."" - The Cell editorial team', 'id_str': '1854676960963706883', 'indices': [215, 238], 'media_key': '3_1854676960963706883', 'media_url_https': 'https://pbs.twimg.com/media/Gb0i3pdXwAMeJi-.jpg', 'type': 'photo', 'url': 'https://t.co/td47RRSyi0', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 900, 'w': 1600, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 900, 'width': 1600, 'focus_rects': [{'x': 0, 'y': 4, 'w': 1600, 'h': 896}, {'x': 0, 'y': 0, 'w': 900, 'h': 900}, {'x': 0, 'y': 0, 'w': 789, 'h': 900}, {'x': 135, 'y': 0, 'w': 450, 'h': 900}, {'x': 0, 'y': 0, 'w': 1600, 'h': 900}]}, 'media_results': {'result': {'media_key': '3_1854676960963706883'}}}]","[{'display_url': 'cell.com/cell/fulltext/…', 'expanded_url': 'https://www.cell.com/cell/fulltext/S0092-8674(24)01033-X', 'url': 'https://t.co/wRP10Hsym2', 'indices': [102, 125]}, {'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [191, 214]}]",,8,6957,3
1853227794920292830,Mon Nov 04 00:08:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"In the latest issue! A genome-wide spectrum of tandem repeat expansions in 338,963 humans https://t.co/G2CsfXazXL",,"[{'display_url': 'dlvr.it/TFzm1p', 'expanded_url': 'http://dlvr.it/TFzm1p', 'url': 'https://t.co/G2CsfXazXL', 'indices': [90, 113]}]",https://pbs.twimg.com/card_img/1854764584181309440/HApYFjl_?format=jpg&name=orig,61,12848,14
