id,created_at,screen_name,profile_img,verified,text,media,urls,thumbnail,favorite_count,view_count,retweet_count
1854149026666738099,Wed Nov 06 13:09:11 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Recognition of BACH1 quaternary structure degrons by two F-box proteins under oxidative stress https://t.co/QB84TyVhFQ,,"[{'display_url': 'dlvr.it/TG2HVL', 'expanded_url': 'http://dlvr.it/TG2HVL', 'url': 'https://t.co/QB84TyVhFQ', 'indices': [108, 131]}]",https://pbs.twimg.com/card_img/1854149030651297794/es9MBzGc?format=jpg&name=orig,31,8368,4
1854255972744822809,Wed Nov 06 20:14:08 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Multimodal targeting chimeras enable integrated immunotherapy leveraging tumor-immune microenvironment https://t.co/wpg5A4VPWM,,"[{'display_url': 'dlvr.it/TG2g0J', 'expanded_url': 'http://dlvr.it/TG2g0J', 'url': 'https://t.co/wpg5A4VPWM', 'indices': [116, 139]}]",https://pbs.twimg.com/card_img/1856363774317604871/IizJPpiZ?format=jpg&name=orig,32,8568,10
1854676964734271669,Fri Nov 08 00:07:01 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"To hear about what our latest focus issue celebrating #50YearsofCell means to us, read our editorial: https://t.co/wRP10Hsym2

And to dive into the world of #neuroscience, explore the issue: https://t.co/BmZncmI80J https://t.co/td47RRSyi0","[{'display_url': 'pic.x.com/td47RRSyi0', 'expanded_url': 'https://x.com/CellCellPress/status/1854676964734271669/photo/1', 'ext_alt_text': '""On the occasion of Cell\'s anniversary, we\'re excited to share an issue looking back at the establishment of foundational principles in neuroscience and showcasing rapidly evolving and particularly exciting topics about the brain and beyond."" - The Cell editorial team', 'id_str': '1854676960963706883', 'indices': [215, 238], 'media_key': '3_1854676960963706883', 'media_url_https': 'https://pbs.twimg.com/media/Gb0i3pdXwAMeJi-.jpg', 'type': 'photo', 'url': 'https://t.co/td47RRSyi0', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 900, 'w': 1600, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 900, 'width': 1600, 'focus_rects': [{'x': 0, 'y': 4, 'w': 1600, 'h': 896}, {'x': 0, 'y': 0, 'w': 900, 'h': 900}, {'x': 0, 'y': 0, 'w': 789, 'h': 900}, {'x': 135, 'y': 0, 'w': 450, 'h': 900}, {'x': 0, 'y': 0, 'w': 1600, 'h': 900}]}, 'media_results': {'result': {'media_key': '3_1854676960963706883'}}}]","[{'display_url': 'cell.com/cell/fulltext/…', 'expanded_url': 'https://www.cell.com/cell/fulltext/S0092-8674(24)01033-X', 'url': 'https://t.co/wRP10Hsym2', 'indices': [102, 125]}, {'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [191, 214]}]",,8,7040,3
1853786097932816477,Tue Nov 05 13:07:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Revisit our latest focus issue celebrating #50YearsofCell, dedicated to #neuroscience!

Explore the issue: https://t.co/BmZncmI80J https://t.co/StDJT1Zzex","[{'display_url': 'pic.x.com/StDJT1Zzex', 'expanded_url': 'https://x.com/CellCellPress/status/1853786097932816477/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1853786093214183424', 'indices': [131, 154], 'media_key': '3_1853786093214183424', 'media_url_https': 'https://pbs.twimg.com/media/Gbn4oUeXMAARzgf.jpg', 'type': 'photo', 'url': 'https://t.co/StDJT1Zzex', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1853786093214183424'}}}]","[{'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [107, 130]}]",,15,5284,4
1854184499896352935,Wed Nov 06 15:30:08 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Organ-specific electrophile responsivity mapping in live C. elegans https://t.co/jIqjrkpYfO,,"[{'display_url': 'dlvr.it/TG2QWV', 'expanded_url': 'http://dlvr.it/TG2QWV', 'url': 'https://t.co/jIqjrkpYfO', 'indices': [81, 104]}]",https://pbs.twimg.com/card_img/1856363775810777089/K_4Mab9V?format=jpg&name=orig,13,6775,1
1853424092952887456,Mon Nov 04 13:08:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Retraction notice to: hnRNP K: An HDM2 Target and Transcriptional Coactivator of p53 in Response to DNA Damage https://t.co/jzr5loSMnj,,"[{'display_url': 'dlvr.it/TG0CD5', 'expanded_url': 'http://dlvr.it/TG0CD5', 'url': 'https://t.co/jzr5loSMnj', 'indices': [132, 155]}]",,14,8707,3
1853821966865907792,Tue Nov 05 15:29:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Regulatory mechanisms of strigolactone perception in rice https://t.co/nVg2GGo9gC,,"[{'display_url': 'dlvr.it/TG1NHj', 'expanded_url': 'http://dlvr.it/TG1NHj', 'url': 'https://t.co/nVg2GGo9gC', 'indices': [71, 94]}]",https://pbs.twimg.com/card_img/1856107283027243011/eh51jLG0?format=jpg&name=orig,10,5387,0
1853459577314144650,Mon Nov 04 15:29:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! A two-front nutrient supply environment fuels small intestinal physiology through differential regulation of nutrient absorption and host defense https://t.co/4Tc8YRrVFA,,"[{'display_url': 'dlvr.it/TG0LQy', 'expanded_url': 'http://dlvr.it/TG0LQy', 'url': 'https://t.co/4Tc8YRrVFA', 'indices': [167, 190]}]",,9,5579,2
1852848673354338409,Sat Nov 02 23:02:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Our anniversary focus issue on #neuroscience includes content reflecting on the progress of the field, highlighting emerging topics, and paving the way toward many more years of fascinating neuroscience research.

Explore the issue: https://t.co/BmZncmI80J

#50YearsofCell https://t.co/fXhRL87g8h","[{'display_url': 'pic.x.com/fXhRL87g8h', 'expanded_url': 'https://x.com/CellCellPress/status/1852848673354338409/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1852848667637796864', 'indices': [273, 296], 'media_key': '3_1852848667637796864', 'media_url_https': 'https://pbs.twimg.com/media/GbakC-EbUAAmk5C.jpg', 'type': 'photo', 'url': 'https://t.co/fXhRL87g8h', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1852848667637796864'}}}]","[{'display_url': 'cell.com/cell/issue?pii…', 'expanded_url': 'https://www.cell.com/cell/issue?pii=S0092-8674(23)X0022-1', 'url': 'https://t.co/BmZncmI80J', 'indices': [233, 256]}]",,49,10225,17
1852684217714692217,Sat Nov 02 12:08:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! In vivo DNA replication dynamics unveil aging-dependent replication stress https://t.co/C1n5h0RQNi,,"[{'display_url': 'dlvr.it/TFyn6s', 'expanded_url': 'http://dlvr.it/TFyn6s', 'url': 'https://t.co/C1n5h0RQNi', 'indices': [96, 119]}]",https://pbs.twimg.com/card_img/1856360825226772480/AcsAx0Ip?format=jpg&name=orig,46,9724,20
