id,created_at,screen_name,profile_img,verified,text,media,favorite_count,view_count,retweet_count
1852848673354338409,Sat Nov 02 23:02:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Our anniversary focus issue on #neuroscience includes content reflecting on the progress of the field, highlighting emerging topics, and paving the way toward many more years of fascinating neuroscience research.

Explore the issue: https://t.co/BmZncmI80J

#50YearsofCell https://t.co/fXhRL87g8h","[{'display_url': 'pic.x.com/fXhRL87g8h', 'expanded_url': 'https://x.com/CellCellPress/status/1852848673354338409/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1852848667637796864', 'indices': [273, 296], 'media_key': '3_1852848667637796864', 'media_url_https': 'https://pbs.twimg.com/media/GbakC-EbUAAmk5C.jpg', 'type': 'photo', 'url': 'https://t.co/fXhRL87g8h', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1852848667637796864'}}}]",49,10187,17
1856067763317702802,Mon Nov 11 20:13:33 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Decreased lipidated ApoE-receptor interactions confer protection against pathogenicity of ApoE and its lipid cargoes in lysosomes https://t.co/1b5a8hfPnX,,9,1676,3
1855996286929133843,Mon Nov 11 15:29:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Transcriptome-scale RNA-targeting CRISPR screens reveal essential lncRNAs in human cells https://t.co/OKr0uUEz1r,,32,5466,16
1853952707411014010,Wed Nov 06 00:09:04 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Spatial transcriptomic landscape unveils immunoglobin-associated senescence as a hallmark of aging https://t.co/LoKfdnTnFb,,62,10469,12
1853786097932816477,Tue Nov 05 13:07:02 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,"Revisit our latest focus issue celebrating #50YearsofCell, dedicated to #neuroscience!

Explore the issue: https://t.co/BmZncmI80J https://t.co/StDJT1Zzex","[{'display_url': 'pic.x.com/StDJT1Zzex', 'expanded_url': 'https://x.com/CellCellPress/status/1853786097932816477/photo/1', 'ext_alt_text': 'Cover of the Cell focus issue on Neuroscience, featuring artwork showing a scientist analyzing behavior, large-scale recordings, and BMI data to decode the brain. Artist: Julia Kuhl.', 'id_str': '1853786093214183424', 'indices': [131, 154], 'media_key': '3_1853786093214183424', 'media_url_https': 'https://pbs.twimg.com/media/Gbn4oUeXMAARzgf.jpg', 'type': 'photo', 'url': 'https://t.co/StDJT1Zzex', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 768, 'w': 591, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 591, 'resize': 'fit'}, 'small': {'h': 680, 'w': 523, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 591, 'focus_rects': [{'x': 0, 'y': 430, 'w': 591, 'h': 331}, {'x': 0, 'y': 177, 'w': 591, 'h': 591}, {'x': 0, 'y': 94, 'w': 591, 'h': 674}, {'x': 207, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 591, 'h': 768}]}, 'media_results': {'result': {'media_key': '3_1853786093214183424'}}}]",15,5244,4
1854255972744822809,Wed Nov 06 20:14:08 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Multimodal targeting chimeras enable integrated immunotherapy leveraging tumor-immune microenvironment https://t.co/wpg5A4VPWM,,33,8496,10
1852850315529494856,Sat Nov 02 23:08:34 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! Emergence of community behaviors in the gut microbiota upon drug treatment https://t.co/KqV0qyiSv3,,28,9848,8
1854149026666738099,Wed Nov 06 13:09:11 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Recognition of BACH1 quaternary structure degrons by two F-box proteins under oxidative stress https://t.co/QB84TyVhFQ,,31,8310,4
1852719698909245764,Sat Nov 02 14:29:32 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,In the latest issue! A pontine-medullary loop crucial for REM sleep and its deficit in Parkinson’s disease https://t.co/xq6sS7PMfr,,27,7519,4
1853893592076755318,Tue Nov 05 20:14:10 +0000 2024,CellCellPress,https://pbs.twimg.com/profile_images/1220389237218009088/8dRI37l__normal.jpg,True,Now online!  Type III interferons induce pyroptosis in gut epithelial cells and impair mucosal repair https://t.co/1m7e24lsee,,112,13059,33
